score,current_key,parent_key
0.0003,1,1
0.00027,2,2
0.00468,3,3
0.0005,4,4
0.0002,5,5
0.9302,6,6
0.00036,7,7
0.00031,8,8
0.00037,9,9
0.00029,10,10
0.00036,11,11
0.0006,12,12
0.00162,13,13
0.00031,14,14
0.00055,15,15
0.00032,16,16
0.00901,17,17
0.00034,18,18
0.04924,19,19
0.00036,20,20
0.00023,21,21
0.00015,22,22
0.00053,23,23
0.00178,24,24
0.00041,25,25
0.00588,26,26
0.00032,27,27
0.00022,28,28
0.00065,29,29
0.41669,30,30
0.00693,31,31
0.0003,32,32
0.0049,33,33
0.00213,34,34
0.00042,35,35
0.4962,36,36
0.00017,37,37
0.00082,38,38
0.00043,39,39
0.00032,40,40
0.00018,41,41
0.00025,42,42
0.00112,43,43
0.00097,44,44
0.0029,45,45
0.00097,46,46
0.00036,47,47
0.00036,48,48
0.0015,49,49
0.00036,50,50
0.00198,51,51
0.00099,52,52
0.00753,53,53
0.00032,54,54
0.00038,55,55
0.00038,56,56
0.00093,57,57
0.0003,58,58
0.00068,59,59
0.00152,60,60
0.00028,61,61
0.0003,62,62
0.00033,63,63
0.00128,64,64
0.0008,65,65
0.0003,66,66
0.00032,67,67
0.00035,68,68
0.00069,69,69
0.00038,70,70
0.00045,71,71
0.00046,72,72
0.00024,73,73
0.00058,74,74
0.00191,75,75
0.00063,76,76
0.00034,77,77
0.94474,78,78
0.0003,79,79
0.00048,80,80
0.00078,81,81
0.0003,82,82
0.00038,83,83
0.00011,84,84
0.00024,85,85
0.00076,86,86
0.00028,87,87
0.00037,88,88
0.0003,89,89
0.00325,90,90
0.00037,91,91
9e-05,92,92
0.19139,93,93
0.00026,94,94
0.00263,95,95
0.00048,96,96
0.00098,97,97
0.00053,98,98
0.0003,99,99
0.00018,100,100
