score,current_key,parent_key
0.0003,1,1
0.00025,2,2
0.00756,3,3
0.00045,4,4
0.00029,5,5
0.00064,6,6
0.00035,7,7
9e-05,8,8
0.00037,9,9
0.00097,10,10
0.00036,11,11
0.0006,12,12
0.00025,13,13
0.00033,14,14
0.00087,15,15
0.00021,16,16
0.00135,17,17
0.00045,18,18
0.00033,19,19
0.0006,20,20
9e-05,21,21
0.00088,22,22
0.00037,23,23
0.00024,24,24
0.00128,25,25
0.0001,26,26
0.0003,27,27
0.00045,28,28
0.28035,29,29
0.00032,30,30
0.00068,31,31
0.00426,32,32
0.0015,33,33
0.00029,34,34
0.00069,35,35
0.00048,36,36
0.00016,37,37
0.00024,38,38
0.00054,39,39
0.00037,40,40
0.00038,41,41
0.19663,42,42
0.01331,43,43
0.00075,44,44
0.00043,45,45
0.00383,46,46
0.00933,47,47
0.00201,48,48
0.00053,49,49
0.00036,50,50
0.00065,51,51
0.00037,52,52
0.22751,53,53
0.00012,54,54
0.00068,55,55
0.00076,56,56
0.00033,57,57
0.00053,58,58
0.00068,59,59
0.00137,60,60
0.00045,61,61
0.00051,62,62
0.00038,63,63
0.00025,64,64
0.00204,65,65
0.001,66,66
9e-05,67,67
0.00045,68,68
0.00024,69,69
0.90718,70,70
0.00053,71,71
0.00115,72,72
0.00017,73,73
0.00038,74,74
0.0008,75,75
0.00028,76,76
0.00029,77,77
0.00076,78,78
0.00037,79,79
0.00032,80,80
0.00093,81,81
0.00022,82,82
0.00753,83,83
0.00044,84,84
0.00093,85,85
0.24873,86,86
0.00045,87,88
0.00046,88,89
0.00028,89,90
0.00045,90,91
0.00036,91,92
0.00093,92,93
0.00097,93,94
0.00076,94,95
0.00043,95,96
0.00573,96,97
0.00038,97,98
0.00022,98,99
0.00078,99,100
