score,current_key,parent_key
0.00037,1,1
0.00051,2,2
0.00028,3,3
0.00103,4,4
0.00026,5,5
0.00027,6,6
0.00069,7,7
0.00069,8,8
0.01082,9,9
0.00237,10,10
0.0005,11,11
0.00038,12,12
0.00043,13,13
0.00024,14,14
0.00045,15,15
0.00698,16,16
0.00019,17,17
0.00052,18,18
0.35144,19,19
0.00052,20,20
0.00035,21,21
0.00036,22,22
0.0006,23,23
0.00053,24,24
0.00067,25,25
0.00025,26,26
0.00058,27,27
0.00053,28,28
0.00036,29,29
0.00051,30,30
0.00037,31,31
0.24873,32,32
0.00047,33,33
0.00043,34,34
0.00093,35,35
0.0003,36,36
0.00027,37,37
0.00033,38,38
0.0003,39,39
0.00041,40,40
0.00076,41,41
0.00033,42,42
0.00037,43,43
0.00385,44,44
0.00198,45,45
0.00029,46,46
0.00048,47,47
0.00039,48,48
0.00038,49,49
0.00011,50,50
0.0003,51,51
0.00025,52,52
0.00032,53,53
0.00022,54,54
0.00097,55,55
0.00018,56,56
0.59745,57,57
0.00048,58,58
0.00038,59,59
0.00056,60,60
0.00037,61,61
0.001,62,62
0.00022,63,63
0.00038,64,64
0.00103,65,65
0.00045,66,66
0.00088,67,67
0.0006,68,68
0.00029,69,69
0.00037,70,70
0.00031,71,71
0.00031,72,72
0.00033,73,73
0.00144,74,74
0.00045,75,75
0.00033,76,76
0.00034,77,77
0.41669,78,78
0.00103,79,79
0.87999,80,80
0.00032,81,81
0.0003,82,82
0.00031,83,83
0.00045,84,84
0.00032,85,85
0.00037,86,86
0.00036,87,87
0.00039,88,88
0.00093,89,89
0.00189,90,90
0.00054,91,91
0.00024,92,92
0.00166,93,93
0.00198,94,94
0.00057,95,95
0.00063,96,96
0.00093,97,97
0.00117,98,98
0.01232,99,99
0.00295,100,100
