architecture,imageHash,platform,pushedAt,registry,repositoryName,imageTags,current_key,parent_key
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,1,1
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,2,2
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,3,3
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,4,4
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,5,5
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,6,6
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,7,7
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,8,8
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,9,9
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,10,10
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,11,11
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,12,12
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,13,13
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,14,14
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,15,15
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,16,16
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,17,17
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,18,18
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,19,19
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,20,20
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,21,21
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,22,22
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,23,23
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,24,24
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,25,25
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,26,26
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,27,27
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,28,28
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,29,29
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,30,30
arm64,sha256:bd2268ef92a8f48d37fbc23513747ef2b20da827c3ff20f93fd1cc11fc1362f8,AMAZON_LINUX_2023,2025-07-04 18:04:28.834000+05:30,531341628109,info-microservice,eksTestingFinalUAT-19,31,31
