architecture,imageHash,platform,pushedAt,registry,repositoryName,imageTags,current_key,parent_key
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,1,1
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,2,2
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,3,3
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,4,4
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,5,5
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,6,6
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,7,7
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,8,8
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,9,9
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,10,10
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,11,11
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,12,12
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,13,13
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,14,14
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,15,15
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,16,16
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,17,17
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,18,18
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,19,19
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,20,20
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,21,21
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,22,22
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,23,23
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,24,24
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,25,25
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,26,26
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,27,27
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,28,28
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,29,29
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,30,30
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,31,31
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,32,32
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,33,33
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,34,34
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,35,35
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,36,36
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,37,37
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,38,38
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,39,39
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,40,40
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,41,41
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,42,42
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,43,43
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,44,44
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,45,45
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,46,46
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,47,47
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,48,48
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,49,49
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,50,50
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,51,51
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,52,52
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,53,53
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,54,54
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,55,55
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,56,56
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,57,57
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,58,58
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,59,59
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,60,60
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,61,61
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,62,62
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,63,63
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,64,64
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,65,65
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,66,66
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,67,67
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,68,68
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,69,69
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,70,70
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,71,71
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,72,72
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,73,73
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,74,74
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,75,75
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,76,76
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,77,77
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,78,78
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,79,79
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,80,80
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,81,81
amd64,sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,AMAZON_LINUX_2,2024-06-26 13:12:57+05:30,531341628109,shopifycodapp,cod_prd_0.2.1,82,82
