awsAccountId,description,exploitAvailable,findingArn,firstObservedAt,fixAvailable,inspectorScore,lastObservedAt,severity,status,title,type,updatedAt,current_key,parent_key
531341628109,A null pointer dereference issue was discovered in function gui_x11_create_blank_mouse in gui_x11.c in vim 8.1.2269 thru 9.0.0339 allows attackers to cause denial of service or other unspecified impacts.,YES,arn:aws:inspector2:ap-south-1:531341628109:finding/005d4b16ec7b5b4d77652f601bbae4b1,2024-06-26 13:13:36.990000+05:30,YES,7.8,2024-06-26 13:13:36.990000+05:30,HIGH,ACTIVE,"CVE-2022-47024 - vim-minimal, vim-data",PACKAGE_VULNERABILITY,2024-06-26 13:13:36.990000+05:30,1,1
531341628109,"less through 653 allows OS command execution via a newline character in the name of a file, because quoting is mishandled in filename.c. Exploitation typically requires use with attacker-controlled file names, such as the files extracted from an untrusted archive. Exploitation also requires the LESSOPEN environment variable, but this is set by default in many common cases.",NO,arn:aws:inspector2:ap-south-1:531341628109:finding/01129398fea85fb933fe46eea4127111,2024-06-26 13:13:36.990000+05:30,YES,7.0,2024-06-26 13:13:36.990000+05:30,HIGH,ACTIVE,CVE-2024-32487 - less,PACKAGE_VULNERABILITY,2024-06-26 13:13:36.990000+05:30,2,1
531341628109,"When a protocol selection parameter option disables all protocols without adding any then the default set of protocols would remain in the allowed set due to an error in the logic for removing protocols. The below command would perform a request to curl.se with a plaintext protocol which has been explicitly disabled.      curl --proto -all,-http http://curl.se  The flaw is only present if the set of selected protocols disables the entire set of available protocols, in itself a command with no practical use and therefore unlikely to be encountered in real situations. The curl security team has thus assessed this to be low severity bug.",NO,arn:aws:inspector2:ap-south-1:531341628109:finding/025af06f95950fad55afc5535170110f,2024-06-26 13:13:36.990000+05:30,YES,5.3,2024-06-26 13:13:36.990000+05:30,MEDIUM,ACTIVE,"CVE-2024-2004 - libcurl, curl",PACKAGE_VULNERABILITY,2024-06-26 13:13:36.990000+05:30,3,1
531341628109,"The libcpu component which is used by libasm of elfutils version 0.177 (git 47780c9e), suffers from denial-of-service vulnerability caused by application crashes due to out-of-bounds write (CWE-787), off-by-one error (CWE-193) and reachable assertion (CWE-617); to exploit the vulnerability, the attackers need to craft certain ELF files which bypass the missing bound checks.",NO,arn:aws:inspector2:ap-south-1:531341628109:finding/033f6b1ce35f69db1a3aa83e408e15ec,2024-06-26 13:13:36.990000+05:30,YES,5.5,2024-06-26 13:13:36.990000+05:30,MEDIUM,ACTIVE,"CVE-2020-21047 - elfutils-libs, elfutils-default-yama-scope and 1 more",PACKAGE_VULNERABILITY,2024-06-26 13:13:36.990000+05:30,4,1
531341628109,Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.1331.,NO,arn:aws:inspector2:ap-south-1:531341628109:finding/034ad8a7eaa676e14f4576185e0e3091,2024-06-26 13:13:36.990000+05:30,YES,4.8,2024-06-26 13:13:36.990000+05:30,MEDIUM,ACTIVE,"CVE-2023-4751 - vim-minimal, vim-data",PACKAGE_VULNERABILITY,2024-06-26 13:13:36.990000+05:30,5,1
531341628109,Applications that use a non-default option when verifying certificates may be vulnerable to an attack from a malicious CA to circumvent certain checks. Invalid certificate policies in leaf certificates are silently ignored by OpenSSL and other certificate policy checks are skipped for that certificate. A malicious CA could use this to deliberately assert invalid certificate policies in order to circumvent policy checking on the certificate altogether. Policy processing is disabled by default but can be enabled by passing the `-policy' argument to the command line utilities or by calling the `X509_VERIFY_PARAM_set1_policies()' function.,YES,arn:aws:inspector2:ap-south-1:531341628109:finding/039e715acffecc46bc0ccf3ebdd088c2,2024-06-26 13:13:36.990000+05:30,YES,5.3,2024-06-26 13:13:36.990000+05:30,MEDIUM,ACTIVE,"CVE-2023-0465 - openssl, openssl-libs",PACKAGE_VULNERABILITY,2024-06-26 13:13:36.990000+05:30,6,1
531341628109,"SnakeYaml's Constructor() class does not restrict types which can be instantiated during deserialization. Deserializing yaml content provided by an attacker can lead to remote code execution. We recommend using SnakeYaml's SafeConsturctor when parsing untrusted content to restrict deserialization. We recommend upgrading to version 2.0 and beyond.
",YES,arn:aws:inspector2:ap-south-1:531341628109:finding/04eb681783b3adc274b4ff5d14eb7fe0,2024-06-26 13:13:36.990000+05:30,YES,9.8,2024-06-26 13:13:36.990000+05:30,CRITICAL,ACTIVE,CVE-2022-1471 - org.yaml:snakeyaml,PACKAGE_VULNERABILITY,2024-06-26 13:13:36.990000+05:30,7,1
531341628109,"A heap-based buffer overflow vulnerability was found in GitHub repository vim/vim prior to 9.0.1376 in Vim's utf_ptr2char() function of the src/mbyte.c file. This flaw occurs because there is access to invalid memory with put in visual block mode. An attacker can trick a user into opening a specially crafted file, triggering an out-of-bounds read that causes an application to crash, leading to a denial of service.",YES,arn:aws:inspector2:ap-south-1:531341628109:finding/0b1d04fcefde0ebffb509a9b43234dd7,2024-06-26 13:13:36.990000+05:30,YES,6.6,2024-06-26 13:13:36.990000+05:30,MEDIUM,ACTIVE,"CVE-2023-1170 - vim-minimal, vim-data",PACKAGE_VULNERABILITY,2024-06-26 13:13:36.990000+05:30,8,1
531341628109,"An issue was discovered in Python before 3.11.1. An unnecessary quadratic algorithm exists in one path when processing some inputs to the IDNA (RFC 3490) decoder, such that a crafted, unreasonably long name being presented to the decoder could lead to a CPU denial of service. Hostnames are often supplied by remote servers that could be controlled by a malicious actor; in such a scenario, they could trigger excessive CPU consumption on the client attempting to make use of an attacker-supplied supposed hostname. For example, the attack payload could be placed in the Location header of an HTTP response with status code 302. A fix is planned in 3.11.1, 3.10.9, 3.9.16, 3.8.16, and 3.7.16.",NO,arn:aws:inspector2:ap-south-1:531341628109:finding/0bcb582395a8bf74d448cb53008ed424,2024-06-26 13:13:36.990000+05:30,YES,7.5,2024-06-26 13:13:36.990000+05:30,HIGH,ACTIVE,"CVE-2022-45061 - python-libs, python",PACKAGE_VULNERABILITY,2024-06-26 13:13:36.990000+05:30,9,1
531341628109,"Vim is an open source command line text editor. When closing a window, vim may try to access already freed window structure. Exploitation beyond crashing the application has not been shown to be viable. This issue has been addressed in commit `25aabc2b` which has been included in release version 9.0.2106. Users are advised to upgrade. There are no known workarounds for this vulnerability.",NO,arn:aws:inspector2:ap-south-1:531341628109:finding/0cb5b346d57f397ffa4792ab54d654c0,2024-06-26 13:13:36.990000+05:30,YES,3.9,2024-06-26 13:13:36.990000+05:30,LOW,ACTIVE,"CVE-2023-48231 - vim-minimal, vim-data",PACKAGE_VULNERABILITY,2024-06-26 13:13:36.990000+05:30,10,1
