architecture,imageHash,platform,pushedAt,registry,repositoryName,imageTags,current_key,parent_key
amd64,sha256:b41025942f6eefa784510b8358494349038afe73d9514e61343878b4a5524494,AMAZON_LINUX_2,2024-06-26 11:22:37+05:30,531341628109,shopifycodappbgservice,bg_prd_0.2,1,1
amd64,sha256:b41025942f6eefa784510b8358494349038afe73d9514e61343878b4a5524494,AMAZON_LINUX_2,2024-06-26 11:22:37+05:30,531341628109,shopifycodappbgservice,bg_prd_0.2,2,2
amd64,sha256:b41025942f6eefa784510b8358494349038afe73d9514e61343878b4a5524494,AMAZON_LINUX_2,2024-06-26 11:22:37+05:30,531341628109,shopifycodappbgservice,bg_prd_0.2,3,3
amd64,sha256:b41025942f6eefa784510b8358494349038afe73d9514e61343878b4a5524494,AMAZON_LINUX_2,2024-06-26 11:22:37+05:30,531341628109,shopifycodappbgservice,bg_prd_0.2,4,4
amd64,sha256:b41025942f6eefa784510b8358494349038afe73d9514e61343878b4a5524494,AMAZON_LINUX_2,2024-06-26 11:22:37+05:30,531341628109,shopifycodappbgservice,bg_prd_0.2,5,5
amd64,sha256:b41025942f6eefa784510b8358494349038afe73d9514e61343878b4a5524494,AMAZON_LINUX_2,2024-06-26 11:22:37+05:30,531341628109,shopifycodappbgservice,bg_prd_0.2,6,6
amd64,sha256:b41025942f6eefa784510b8358494349038afe73d9514e61343878b4a5524494,AMAZON_LINUX_2,2024-06-26 11:22:37+05:30,531341628109,shopifycodappbgservice,bg_prd_0.2,7,7
amd64,sha256:b41025942f6eefa784510b8358494349038afe73d9514e61343878b4a5524494,AMAZON_LINUX_2,2024-06-26 11:22:37+05:30,531341628109,shopifycodappbgservice,bg_prd_0.2,8,8
amd64,sha256:b41025942f6eefa784510b8358494349038afe73d9514e61343878b4a5524494,AMAZON_LINUX_2,2024-06-26 11:22:37+05:30,531341628109,shopifycodappbgservice,bg_prd_0.2,9,9
amd64,sha256:b41025942f6eefa784510b8358494349038afe73d9514e61343878b4a5524494,AMAZON_LINUX_2,2024-06-26 11:22:37+05:30,531341628109,shopifycodappbgservice,bg_prd_0.2,10,10
amd64,sha256:b41025942f6eefa784510b8358494349038afe73d9514e61343878b4a5524494,AMAZON_LINUX_2,2024-06-26 11:22:37+05:30,531341628109,shopifycodappbgservice,bg_prd_0.2,11,11
amd64,sha256:b41025942f6eefa784510b8358494349038afe73d9514e61343878b4a5524494,AMAZON_LINUX_2,2024-06-26 11:22:37+05:30,531341628109,shopifycodappbgservice,bg_prd_0.2,12,12
amd64,sha256:b41025942f6eefa784510b8358494349038afe73d9514e61343878b4a5524494,AMAZON_LINUX_2,2024-06-26 11:22:37+05:30,531341628109,shopifycodappbgservice,bg_prd_0.2,13,13
