score,current_key,parent_key
0.00262,1,1
0.00472,2,2
0.00426,3,3
0.00017,4,4
0.88877,5,5
0.00157,6,6
0.00058,7,7
0.0011,8,8
0.24873,9,9
0.21443,10,10
0.00045,11,11
0.00573,12,12
0.00425,13,13
0.00611,14,14
0.00526,15,15
3e-05,16,16
0.00219,17,17
0.94188,18,18
9e-05,19,19
0.00204,20,20
0.00231,21,21
0.09709,22,22
7e-05,23,23
0.0011,24,24
0.00023,25,25
0.00271,26,26
0.0033,27,27
0.00033,28,29
0.00104,29,30
0.0183,30,31
0.04703,31,32
0.64445,32,33
0.0003,33,34
0.00042,34,35
0.93655,35,36
0.19663,36,37
0.52453,37,38
0.02472,38,39
0.0061,39,41
0.00012,40,42
0.0009,41,43
0.00172,42,44
0.00018,43,45
0.06909,44,46
0.35144,45,47
0.00199,46,48
0.00022,47,49
0.00732,48,50
0.00623,49,51
0.0007,50,52
0.00028,51,53
0.00442,52,54
0.00128,53,55
0.00103,54,56
0.45383,55,57
0.00453,56,58
0.01082,57,59
0.10578,58,60
0.00053,59,61
0.00156,60,62
0.0005,61,63
0.0051,62,64
0.00124,63,65
0.00177,64,66
0.00086,65,67
0.00107,66,68
0.00038,67,69
0.00693,68,70
0.00077,69,71
0.00901,70,72
0.94469,71,73
0.00017,72,74
0.00444,73,75
0.00047,74,77
0.00061,75,78
0.00089,76,79
0.00063,77,80
0.01541,78,81
0.00467,79,82
0.00046,80,83
0.00023,81,84
0.00037,82,85
0.03512,83,86
0.93796,84,87
0.00417,85,88
0.00137,86,89
0.00036,87,90
0.00015,88,91
0.00141,89,92
0.0005,90,93
0.00015,91,94
0.02544,92,95
0.00228,93,96
0.00093,94,97
0.00025,95,98
0.0057,96,99
0.00167,97,100
