cvssSource,score,scoreSource,scoringVector,version,current_key,parent_key
NVD,8.8,NVD,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1,1,1
AMAZON_CVE,5.3,AMAZON_CVE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1,2,2
NVD,6.5,NVD,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,3,3
NVD,7.3,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,3.1,4,4
NVD,9.8,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,5,5
AMAZON_CVE,5.3,AMAZON_CVE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1,6,6
AMAZON_CVE,7.4,AMAZON_CVE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:H,3.1,7,7
AMAZON_CVE,0.0,AMAZON_CVE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,3.1,8,8
NVD,8.1,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,3.1,9,9
NVD,7.8,NVD,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1,10,10
AMAZON_CVE,4.0,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1,11,11
NVD,9.8,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,12,12
NVD,6.3,NVD,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,3.1,13,13
AMAZON_CVE,5.9,AMAZON_CVE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,14,14
AMAZON_CVE,3.3,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,3.1,15,15
NVD,5.3,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,3.1,16,16
AMAZON_CVE,5.8,AMAZON_CVE,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:H,3.1,17,17
NVD,8.8,NVD,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1,18,18
NVD,4.3,NVD,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:N/I:L/A:N,3.1,19,19
AMAZON_CVE,7.8,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1,20,20
NVD,7.5,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,21,21
NVD,9.8,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,22,22
AMAZON_CVE,7.0,AMAZON_CVE,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1,23,23
NVD,6.5,NVD,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:C/C:H/I:L/A:N,3.1,24,24
AMAZON_CVE,2.9,AMAZON_CVE,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1,25,25
AMAZON_CVE,5.3,AMAZON_CVE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1,26,26
NVD,7.5,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,27,27
NVD,7.5,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,28,28
AMAZON_CVE,4.4,AMAZON_CVE,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N,3.1,29,29
AMAZON_CVE,7.5,AMAZON_CVE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1,30,30
NVD,9.8,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,31,31
NVD,8.1,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,3.1,32,32
NVD,7.5,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,33,33
