architecture,imageHash,platform,pushedAt,registry,repositoryName,imageTags,current_key,parent_key
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,1,1
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,2,2
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,3,3
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,4,4
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,5,5
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,6,6
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,7,7
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,8,8
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,9,9
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,10,10
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,11,11
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,12,12
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,13,13
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,14,14
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,15,15
arm64,sha256:7e9b62bf0fe4f546d3b1dc39f74e40acb230e6840c7a94c5f9c18cec89aa16ea,AMAZON_LINUX_2023,2025-06-18 18:00:52.359000+05:30,531341628109,storecard,PROD_EKS_1.0.5,16,16
