score,current_key,parent_key
0.00091,1,1
0.00156,2,2
0.00573,3,3
0.00093,4,4
0.00015,5,5
0.04703,6,6
0.00095,7,7
7e-05,8,8
0.11116,9,9
0.00177,10,10
0.00025,11,11
0.00015,12,12
0.00071,13,13
0.9302,14,14
0.0057,15,15
0.00282,16,16
0.00017,17,17
0.00472,18,18
0.001,19,19
0.00042,20,20
0.00901,21,21
0.00453,22,22
9e-05,23,23
0.00056,24,24
0.01082,25,25
0.00047,26,26
0.0005,27,27
0.0011,28,28
0.00116,29,29
0.00199,30,30
0.03512,31,31
0.00139,32,32
0.00015,33,33
9e-05,34,34
7e-05,35,35
0.64445,36,36
0.00279,37,37
0.0011,38,38
0.00325,39,39
0.00036,40,40
0.00086,41,41
0.00103,42,42
0.00467,43,43
0.00058,44,44
0.00063,45,45
0.94469,46,46
0.04619,47,47
7e-05,48,48
0.45359,49,49
0.00442,50,50
0.93655,51,51
0.88877,52,52
0.00425,53,53
0.00092,54,54
0.09709,55,55
0.00107,56,56
0.00069,57,57
0.00014,58,58
0.00033,59,59
0.00526,60,60
3e-05,61,61
0.00228,62,62
0.00137,63,63
0.02544,64,64
0.0007,65,65
0.00061,66,66
0.00219,67,67
0.00023,68,68
0.00037,69,69
0.24873,70,70
0.00037,71,71
0.00473,72,72
0.00139,73,73
0.0183,74,74
0.0005,75,75
0.93796,76,76
0.00015,77,77
0.00176,78,78
0.00204,79,79
0.00128,80,80
0.00426,81,81
8e-05,82,82
0.10578,83,83
0.00104,84,84
0.00444,85,85
0.00124,86,86
0.00115,87,87
0.00028,88,88
0.00054,89,89
0.00693,90,90
0.00045,91,91
0.00067,92,92
0.52453,93,93
0.00047,94,94
0.92756,95,95
0.0009,96,96
0.01039,97,97
0.00761,98,98
0.06909,99,99
0.00012,100,100
