architecture,imageHash,platform,pushedAt,registry,repositoryName,imageTags,current_key,parent_key
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,1,1
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,2,2
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,3,3
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,4,4
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,5,5
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,6,6
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,7,7
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,8,8
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,9,9
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,10,10
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,11,11
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,12,12
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,13,13
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,14,14
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,15,15
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,16,16
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,17,17
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,18,18
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,19,19
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,20,20
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,21,21
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,22,22
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,23,23
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,24,24
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,25,25
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,26,26
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,27,27
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,28,28
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,29,29
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,30,30
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,31,31
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,32,32
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,33,33
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,34,34
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,35,35
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,36,36
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,37,37
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,38,38
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,39,39
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,40,40
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,41,41
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,42,42
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,43,43
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,44,44
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,45,45
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,46,46
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,47,47
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,48,48
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,49,49
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,50,50
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,51,51
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,52,52
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,53,53
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,54,54
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,55,55
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,56,56
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,57,57
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,58,58
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,59,59
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,60,60
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,61,61
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,62,62
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,63,63
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,64,64
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,65,65
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,66,66
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,67,67
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,68,68
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,69,69
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,70,70
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,71,71
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,72,72
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,73,73
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,74,74
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,75,75
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,76,76
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,77,77
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,78,78
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,79,79
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,80,80
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,81,81
arm64,sha256:2ab34df4229a586add775d915b78213c761ab0297a7c78e1f746e9a43fcb68f9,AMAZON_LINUX_2023,2025-06-18 12:15:14.503000+05:30,531341628109,storecard,PROD_EKS_1.0.2,82,82
