current_key,parent_key
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,9
9,10
10,11
11,13
12,14
13,16
14,17
15,18
16,19
17,20
18,22
19,23
20,24
21,25
22,26
23,27
24,28
25,29
26,31
27,32
28,33
29,34
30,35
31,37
32,38
33,39
34,40
35,43
36,44
37,45
38,46
39,47
40,48
41,49
42,50
43,51
44,52
45,53
46,54
47,55
48,56
49,57
50,58
51,59
52,60
53,63
54,64
55,66
56,67
57,68
58,69
59,70
60,71
61,72
62,73
63,74
64,75
65,78
66,79
67,80
68,81
69,82
70,83
71,84
72,85
73,86
74,87
75,88
76,89
77,90
78,91
79,92
80,93
81,94
82,95
83,97
84,98
85,100
