cvssSource,score,scoreSource,scoringVector,version,current_key,parent_key
AMAZON_CVE,6.2,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,1,1
AMAZON_CVE,3.7,AMAZON_CVE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1,2,2
AMAZON_CVE,4.0,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1,3,3
NVD,8.3,NVD,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H,3.1,4,4
AMAZON_CVE,5.3,AMAZON_CVE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1,5,5
AMAZON_CVE,7.4,AMAZON_CVE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,3.1,6,6
AMAZON_CVE,3.6,AMAZON_CVE,CVSS:3.1/AV:L/AC:H/PR:N/UI:R/S:U/C:N/I:L/A:L,3.1,7,7
AMAZON_CVE,6.5,AMAZON_CVE,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1,8,8
AMAZON_CVE,5.9,AMAZON_CVE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,9,9
NVD,5.3,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1,10,10
AMAZON_CVE,3.7,AMAZON_CVE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1,11,11
AMAZON_CVE,3.3,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L,3.1,12,12
AMAZON_CVE,4.8,AMAZON_CVE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:L,3.1,13,13
NVD,7.5,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,14,14
