current_key,parent_key
1,1
2,2
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,39
38,40
39,41
40,42
41,43
42,45
43,47
44,49
45,50
46,51
47,52
48,53
49,54
50,55
51,56
52,57
53,58
54,59
55,60
56,61
57,62
58,63
59,64
60,65
61,66
62,67
63,68
64,69
65,71
66,72
67,73
68,75
69,76
70,77
71,78
72,79
73,80
74,81
75,82
76,83
77,84
78,85
79,87
80,88
81,89
82,90
83,91
84,92
85,94
86,95
87,96
88,97
89,99
90,100
