current_key,parent_key
1,1
2,2
3,3
4,4
5,6
6,7
7,8
8,9
9,10
10,11
11,13
12,14
13,15
14,16
15,17
16,19
17,20
18,21
19,22
20,24
21,25
22,26
23,28
24,29
25,30
26,31
27,32
28,34
29,35
30,36
31,37
32,38
33,39
34,40
35,41
36,42
37,43
38,44
39,45
40,46
41,47
42,48
43,49
44,50
45,51
46,52
47,53
48,54
49,56
50,57
51,58
52,59
53,60
54,61
55,62
56,63
57,64
58,65
59,66
60,67
61,68
62,69
63,70
64,71
65,72
66,73
67,74
68,75
69,76
70,77
71,78
72,79
73,80
74,81
75,82
76,83
77,84
78,85
79,86
80,87
81,88
82,89
83,90
84,91
85,92
86,93
87,94
88,95
89,96
90,97
91,98
92,99
93,100
