current_key,parent_key
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,24
23,25
24,26
25,27
26,28
27,29
28,30
29,32
30,33
31,34
32,35
33,37
34,38
35,39
36,40
37,41
38,42
39,43
40,44
41,45
42,46
43,47
44,48
45,49
46,50
47,51
48,52
49,53
50,56
51,57
52,58
53,60
54,61
55,62
56,63
57,66
58,67
59,68
60,69
61,70
62,71
63,73
64,74
65,76
66,77
67,78
68,80
69,81
70,82
71,83
72,84
73,85
74,86
75,87
76,88
77,89
78,91
79,92
80,94
81,95
82,96
83,97
84,99
85,100
